index,comments,like,dislike,predict,percent,truelike,wholelike
12,"대구를 남기고 부산을 뺀 것은 부산,울산,경남은 이미 장악을 했는데 대구,경북만 아직 장악하지 못했다는 것이 그 첫번째 이유고, 다른 또 하나는 지금 부산시장 오거돈의 모가지가 미투와 선거법위반으로 달랑달랑하거든, 부산시장 오거돈을 파기 시작하면 부시장 유재수, 부산의료원장 노환중이 걸려 나오고 이어서 조국 나오고 해수부 나오고 다 걸려 나오거든. 검찰개혁을 이렇게 서두르는 이유 역시 정경심 파면 조국 나오고 조국 파면 문재인이 걸려 나오거든 그러니까 검찰을 조져야 되는거야",12,0,1,100.0,12,12
11,"더 강력한 검찰(특히 특수부) 만들어라...멍청한 문재인이 자주쓰는 표현...아무도 흔들 수 없는 검찰의 완전한 사법 독립...이게 개혁이다....사실 일반 착한 국민들 특수부 검사 만날 일 평생 없습니다.,,조국같은 특권층 쓰레기들 청소하는 곳이니까요",5,1,1,100.0,4,6
881,■■■윗물(정치인)이 맑아야  아랫물(국민)도 맑다.........조국과 그 주변은 똥물!,3,1,1,100.0,2,4
677,민주주의 와  인권 침해를 했던   특수부는  전부   해체를 해야  한다    자한당은   민주주의 와인권을유린했던   당이다    대한민국 국민들이  알아야 한다   자한당   지지자들은   정치 수준이   넘 낮기에   걱정된다,0,2,1,99.99,-2,2
966,여기서 검찰개혁에 거품무는 인간들 치고 특수부에 불려갔던 사람이 아닌가 하는데 그런인간들 치고 깨끗한 인간 없는거 맞지.. 일반 사람들 그런데 갈 일없다.. 오히려 있어야 한다고 보는데.. 근데 조국이 설치는건 아니잖아 니가 수사대상인데.. 도둑놈이 포도청 개혁한다고 설치는거잖아..,22,4,1,99.99,18,26
877,부산 토착비리 세력을 타 지역에서 관리감찰 하는것이 옳다. 수사수요가 많은 만큼 비리 또한 엄청난것이 부산의 현실!,0,0,1,99.98,0,0
188,부산없애는게 맞다. 조국 문재인 노무현 전부 다 부산땅출신임. 사실상 전라도보다 pk가 더 문제다.,1,1,1,99.98,0,2
604,조국이나 안간잽이는대통 하기에는..모르는게넘많은 초보놈들이라.참걱정스럽다..반일도 그렇고..그래도 교활이가 좀  앞서 있는듯..아니 어쩌면  많이 앞서 있는지도...,0,0,1,99.98,0,0
946,반부패수사부 명칭이 조구기일가 부패 조사하기에는 딱 적절한 명칭인 것 같다.ㅋㅋ 반부패수사 1호가 조국기일가이네.,4,0,1,99.97,4,4
232,"불쏘지게가 되고자 사표낸다는 조국,  아니지 내일 국감에서 말잘못하면 위증죄를 범하게되니 거짓말도 안되니 사표를 던진거지ᆢ 끝까지 사과 안하는 조국,   사회주의자는 사과를 안한다지만 대단하다 조국~",7,4,1,99.96,3,11
415,너네끼리 다 헤쳐먹네~이 썩어빠진 문재인정권과 민주당 그리고 조국가~~대단하다.정권은 영원할 수 없다는걸 전 정권들을 통해 봤을텐데~~감빵 동기될 너네들 지금은 축배를 들어라~곧 좌석배정 될 것이다,1,1,1,99.96,0,2
618,중앙일보 쉐이들 이젠 좃선을 능가하는구나. 조만간 중좃 똥될듯...ㅋ  조국은 열나 까면서   범법자 나경원이는 왜 뒤지지  않는거냐?!  악성 언론×정치검잘×친일자한이 초근 사건의 본질!!   진실을 언제까지 가릴 수 있을까.ㅋ ㅋ,2,3,1,99.96,-1,5
978,"조국~~~모친 웅동학원 사회 환원?푸하핳하~~~ 입장문을 읽어 보다가, 법인에 독립운동의 가족사가 담겨 잇다길래 찾아보니. 과거 독립운동과 초기 웅동학원이 연관이 있고 실제 민족사학 역할은 한것은 사실이다. 그러나 조국 아버지는 해방하고 아주 한참 뒤인 1985년경 인수를 한거ㅋㅋ 헌데 이걸 독립운동의 가족사가 잇다고 말한다?? 이게 말이 되나? 독립운동은 다른 웅동학원 관련된 당시 선조분들이 한 거지 본인들은 한참 뒤에 지역유지로서 학교법인 인수해서 운영했는데 독립운동을 입에 담나?? 서기꾼아! 양심이 있다면 닥치거라!",7,3,1,99.96,4,10
753,일본이 특수부 3개라서 우리도 3개만 남긴다고??? 너희야말로 토착왜구구나!!! 부산에 오거돈 비리 심하게 많지.. 크루즈 사업에 와이파이에... 게다가 조국 동생 조권이 경찰 임명도 좌지 우지 했다하고.. 부산이야말로 가까이 검찰 필요하다!,2,0,1,99.95,2,2
67,검찰 직접수사 싹 다 없애라 우리보다 조직 5배나 큰 일본검찰도 직접수사 하는 데는 겨우 3곳이다,0,1,1,99.94,-1,1
61,대구까지는 그래도 주말에 ktx타고 서울 가기도 편하고 살기도 좋거든.자식들 학군도 수성구에 보내면 교육도 괜찮고..그냥 강남 보다는 못해도 전국에서는 살기 좋은 곳 중에 하나임,1,1,1,99.93,0,2
134,국민들은 역사에 길이길이 저 면상들기억할것이다~~니들이 지금 저지르고있는 모든 패악질을국민은 반드시 심판하게될것이다~~~천하에 못된패거리들아~~~,3,0,1,99.93,3,3
781,신속하게 처리하는걸보니 검찰과기레기가 왜그리 날뛰었는지 알겠다...그동안은 개혁한다하고 못할거뻔히알았는데 조국은 진짜 지네들 목숨 끊을거 알았거든...ㅎㅎ,0,5,1,99.9,-5,5
508,정부 행정부 인사와 민주당 국개들이 제일 좋아하겠지 일반 국민들은 특수부가 존재해서 부패 범죄를 수사하길 바린다,0,0,1,99.9,0,0
173,"옵션 열기조국사퇴 반대한다!끝까지 국민이 함께 합니다.지금도 검찰과 언론, 자한당은 토착왜구들이다.저들을 지지하고 추종하는 자들은 매국노 조중동과 친일독재 수구보수의 토사물인 일베충 뿐이다.민주당 정의당 전원은 의원직사퇴의 배수진으로 매국노 조중동과 토착왜구들에 맞서 싸워라.",2,9,1,99.89,-7,11
298,표정보면 죄없는데 나에게 핍박을 주냐 그런표정과 제스쳐!그리 문제가 많은데 어쩜 저리 당당한지!,2,0,1,99.88,2,2
543,부산이 대한민국 제2의도시고 인구도 광역시중에 제일많은데 부산특수부폐지?ㅋㅋㅋㅋㅋㅋㅋ좃국새끼 짱돌굴리고 뺑끼존나쓰는데 안그래도된다 범죄자새끼야,4,0,1,99.84,4,4
904,특수부에서 조사하받는 사람는 일반 국민이 아니라 정치인 경제인등 상위 지배층인데 왜 이걸 축소를 하는거임?,2,0,1,99.82,2,2
602,"문재인 정권의 승리가 국민의 승리이고, 우리가 조국입니다!!♡♡사랑하고, 감사하고!!!♡",1,8,1,99.81,-7,9
632,어떤 글이나 말로도 표현할수없는 대역대급 조씨가족들~,1,0,1,99.81,1,1
900,급진보주위자들은 어차피 명이짧다 역사가 증명한다 ㅎ ㅎ 너무 많은걸 급하게 하려면 적이 많아지지  ㅎ,3,0,1,99.78,3,3
287,개획의 끝이 어디있을까요? 상황에 따라 변화에 따라 적응해가는게삶이라 생각합니다행정부의 힘으로만 안돼고 입법부의 협력이 절실히 필요한 시기에 참으로 안타까운 현실입니다~,0,0,1,99.77,0,0
728,캬 중알일보 쩐다ㅎㅎ부산은 왜빠졌녜ㅋㅋㅋㄱ진짜 갖다맞추기 잘한다ㅋㅋㅋㄱ,0,0,1,99.76,0,0
460,11월 사퇴설! 조국 최대한 성과 내고 조국이니까 이 정도까지 가능했다. 외치며 국민의 뜻을 겸허히 받겠다며 퇴진. 내년총선에 부산 출마 당선.,0,3,1,99.73,-3,3
117,"문정권 들어서고 좌빠리들이공공연히 떠드는개소리가  수구꼴통 대구를 없애야한다고 하더만.,..너거 대가리 먼저 뿌셔지겠다! 대갈통간수 잘~~~해라!좌빨들아.",4,1,1,99.69,3,5
65,조미꾸라지가 국감  앞두고 위증죄 될까봐 빠져나갔네.자기식구 압박 못하도록 안전장치 해놓고!!그러나!!!!제대로 조사 받아라!그리고 조패밀리들 다 감빵행 가즈아~,9,0,1,99.69,9,9
354,도둑 고양이가 생선집 사람 주인 몰아낸샘 ㅋㅋ정말 대박이다 이 나라 ㅋㅋ,1,0,1,99.69,1,1
273,조국 한놈때문에 부산은..지금부터 도둑사기범 조국이 감옥갈때까지...부산부곡이다,0,1,1,99.69,-1,1
762,정권 바뀌면 현정부에서 이뤄진 모든 개혁관련 법안을 원점 재검토하고 다시 리셋해야됨,3,0,1,99.68,3,3
327,하여튼 피의자가 뭔지도 모르는 것들이  시비는  조국 만큼  깨끗한 사람이 어디에 있냐. 지금 까지 수사가  포창장 위조란다. 만약 하버드대 위조 했으면 말을 안겠다. ㅋㅋ,0,6,1,99.67,-6,6
184,"자칭 국민을 위한 검찰. 레이스 끝내지 말고 조국일가 털었던 대학교 전수조사해라.. 입시에 관련된 비리들이 수도 없이 쏟아질텐데 일가족 하나로 모든 걸 일반화 하기엔 너무 치졸하지 않냐? 그 외에도 고위공직자에 대한 신랄한 검증기준을 조국에만 편향하지말고 좌우상하 막론, 국회의원도 다 털어라.",2,0,1,99.59,2,2
254,"우리 백성 국민은 패스트트랙 헌법개정안 공수처설치 함정이 있다는 사실 알아야 할것이다,국가의 기능  모든 헌법이 무너지고 ""검, 경, 입법 산하 기관이! 허수아비 역활만 할수밖에 없다는점 상기! 공수처기관은 오직 자신들의 집권세력 보호막을 형성 해줄 국가비밀경찰 이다, 말하자면 자신의 적폐는무죄고 외에 백성의 적폐는 거짓과 선동을 일삼는 독재가 시작 될것이며 삼권 분립 이 무너진 대한민국은 백성들의 삶의 터전 마저 위협을 받게 될것이다, ""먼저 앞서 생각 말고 면밀히 다시한번 생각 하자""",6,0,1,99.53,6,6
87,부산 왜 특수부 없애냐! 부산은 있어야지!!! 세종시에도 하나 만들어라.,3,0,1,99.52,3,3
198,그래도  윤석열  끝까지 화이팅  지금쇼 하고잇음  내년선거  아무도안뽑아 제발끝까지 조국비리  파헤지시길  아님정부랑협약한듯오해가~,2,0,1,99.52,2,2
428,조국 화이팅! 끝까지 지지합니다! 악플댓글이 여론이 아닙니다 조국 힘내십시오,1,3,1,99.5,-2,4
552,특수부에 부산뺀건 자신에 비리를 숨기기 위한 작전이다!조국구속하고 문재인퇴진해라!,8,3,1,99.36,5,11
739,댓글찬반좀소세요 조국씨당신이 무슨개혁을 한다고 당신덕에문재앙대통령 민주당 지지율다빠졌어요검찰조서받을사람이 물타기 하려구 검찰개혁한다면 누가믿나요검찰잘하고있으니 신경써지마세요,0,1,1,99.33,-1,1
484,두번째 도시인 부산이 빠지고  광주가 들어 가다니 ...조국 지키기에  올인한 느낌.,4,0,1,99.31,4,4
408,"사법 장악, 공수처 결사반대합니다, 잘몰랐눈데 내용 알고보니 독재기관입니다!",5,0,1,99.13,5,5
355,무능한 정부~~~검찰개혁이 중요하니!!!젊은이들 취업난 해결해라!!!,4,0,1,99.08,4,4
955,지금은 세상 모든게 네것인것 같을것이다ㆍ할수있는거 다해바라  더러운 애송이야ㆍ훗날 넌 국가와 전국민을 능멸한죄 사형이다,0,0,1,99.05,0,0
971,"왜 부산은 특수부를 해체시키는지 답은 뻔하죠?   조국과 문제인 고향이 부산이라 부산, 경남쪽에 친인척과 지인이 많이 있어 그들이 부패로 이득을 지속할려고 부산쪽 특수부를 폐쇄시키겠지요 -  쉽게 생각하세요 ㅋ",2312,751,1,99.02,1561,3063
622,"조대가리. 너가 개혁하지마.너가 한 개혁은 무효! 너의 딸 의전 입학도 무효! 너의 아들 대학원도 무효! 너의 법무부장관도 무효! 경매로 산 너의 집도 무효!너의 동생 위장이혼도 무효! 살아 숨쉬는 모든 것이 너는 무효.가짜 인생, 위선자~",3,3,1,99.0,0,6
871,조국 사진 제발 올리지 않았면 합니다 피의자가 검찰개혁 발표한다고요? 국민을 개돼지로 보십니까?,4,1,1,98.94,3,5
94,다 없애던지 서울빼고 전부 없애던지 !,0,1,1,98.94,-1,1
810,특수부 없앤다고 감찰 개헉이 될까??오히려 범죄조직에 좋은 일만 하는거 아닌지...,2,0,1,98.91,2,2
481,지금 문제가 있는 오거돈과 관계도 있고.. 부산의전과도 관계도 있고.. 부산에 특수부가 있으면 조국 가족들이 곤란하니까 그런거 아니겠니.? ㅋ,3,0,1,98.84,3,3
636,"트위터에 남 비난하는거 외에 실무경험도 검찰내부 상황도 전혀모르는 백면서생의  망나니짓,   윤석렬이  한발 앞서 다 하고있는데 뒤따르며 나머지 공부하냐?  전정권 조지라고 특수부 엄청 키울땐 언제고  축소가 개혁 이래니?",2,0,1,98.67,2,2
742,종북역도놈 문개와 조국놈의 더러운 자의로 쪼물딱거리며 짜고치는 검찰개혁 필요없다.   지금 검찰을 아무것도 건드리지 않고 고스란히 온전하게 그대로 검찰이 정치적으로 흔들리지 않고 일하도록  해야한다. 종북역도놈 문개 조국 더러운 놈들의 추악한  야욕의 흉한 악취 풍기는 검찰개혁 필요없다.,2,0,1,98.63,2,2
516,조국 화이팅  !!!!!,0,3,1,98.6,-3,3
101,부산이 왜 빠지나 ㆍㆍ진정 설치 되야 될곳은 부산인데 ㆍㆍ물동량 인구  등등  ㆍㆍ,4,1,1,98.59,3,5
537,국가정책을 조국 구하기에 동원하니 졸속이 될 수밖에...,2,0,1,98.58,2,2
582,"""영남 지역에 부산지검이 아닌 대구지검에 특수부를 남기는 방안을 먼저 제안한 것은 법무부가 아닌 대검이었다고 한다. ""    윤석렬이 했다잖아 이 삐구 토착왜구 매국노들아!! 기사도 못 읽냐? 노안와서? ㅋㅋㅋ",0,1,1,98.56,-1,1
934,현재 대한민국에서 가장 부패한 넘이 반부패?ㅎㅎㅎㅎ 노냐?,3,0,1,98.54,3,3
748,조국이 지맘대로 주무르는데 아 진짜 개열받네 저새끼 진짜 ... 조국은 나가 뒤지길,1,0,1,98.54,1,1
747,검찰개악이다! 특수부 없애기 전에 조국 구속! 그리고 문정권의 개 노릇하는 경찰개혁이 먼저이다!,2,0,1,98.5,2,2
642,없애고 축소하고 검찰개혁 참 쉽죠잉...조국 구속 못시키면  삼성도 수사 종결해라..,3,0,1,98.47,3,3
137,나 부산토박인데  조국 건마  부산놈아니다  그런 OOO같은놈은  부산아니다  임마는    절대 부산놈아니다,0,3,1,98.43,-3,3
416,"조국아, 게수작 부리지 말라우. 개혁대상은 당신과 네 가족이다",1,0,1,98.34,1,1
491,검찰개혁 화이팅! 토요일에 서초에서 만납시다,0,3,1,98.34,-3,3
878,부산이..범죄우두머리에 온상지인가보네..개혁은 계속된다~~~~!^^화이팅~☆,1,1,1,98.29,0,2
935,대구가 한국당좋아해서인가 싶기도 ㅎㅎ,0,0,1,98.28,0,0
111,"ㅎㅎ ㅎ...동네 웃낀다. 자한당이 나라쳐말아드시고 더불당이 여당이 됐는데대통령은 양산, 조국 부산인데 갱상도는전라도를 절나 욕해요. 웃기지 않나요?하여튼 양아치이색히들일세~~",2,1,1,98.26,1,3
766,"김기춘, 황교안, 양승태, 우병우, 김학의, 나경원 같은 인간들도 다시 전면 재조사해야한다. 그래야 공평하다. 조국처럼 사돈에 오촌까지 다 털어보자~ 뭐가 나올지 궁금하다.",2,4,1,98.12,-2,6
856,내가 피해자라면 경찰보다는 검찰에서 수사 맡아주는게 마음이 놓인다경찰보다는 검찰에 신뢰간다검찰력 약화시켜 좋은건 힘센놈 가진자들이다,1,0,1,98.03,1,1
501,어휴 기자 진짜... 조국이 지금 부산 사냐?,0,2,1,98.03,-2,2
270,사람 살인해도 위법사항만 인멸하면 무죄인 나라가 되었다. 위법사항만 감추자~^^,0,0,1,97.96,0,0
34,적폐가 더많으면 없애는게 답이다.,0,0,1,97.95,0,0
16,엥간히해라 기레기 shake it. 조국이 지금 부산에 사는것도 아닌데,0,6,1,97.88,-6,6
933,이정권 끝나면 특수부 다시 개편해서 늘리면되지!,1,0,1,97.87,1,1
169,이번에 조국임명에부역하고 5촌 조카와 통화한  법무부직원. 구속해야한다 공무원이  조국 기에 협조한것임,3,1,1,97.84,2,4
313,이 분이 진행한 사항 모든것 국민이 인정 할 수 없습니다. 모든 것 돌려놓고 다시 시작해야 합니다. 피해보상은 부정장학금부터 시작하여 조국에게 받읍시다.,2,0,1,97.83,2,2
796,권력형 부패형 범죄의 직접수사 축소. 공수처 밑밥깔기.. 야당은 반드시 저지시켜라.,0,0,1,97.69,0,0
388,드디어 물러나네요 지금 언론사엠바고중이고 14시부터보도시작한답니다 이제 ㅁㅈㅇ만남았습니다,0,0,1,97.61,0,0
597,이번 기회에 검찰 개혁 꼭 이뤄내야한다,1,0,1,97.51,1,1
247,이제 국민들은 너희의 꿍꿍이를 다 안다 초딩정부네 개종자,2,1,1,97.47,1,3
803,3개도 많아. 하나만 남겨라. 이번에 검찰개혁 못하면 문재인은 죽고 언젠가 또 혁명으로 정부가 뒤집어 진다. 목숨걸고 해내라,0,11,1,97.35,-11,11
829,조국 ᆢ부산 팔지마라,1,0,1,97.31,1,1
368,범죄자새끼가 개혁을 운운하는 코미디같은 나라가된 자유민주주의 대한민국...정말 참담하다,1,0,1,97.27,1,1
603,윤석렬은 잘생기진 않아도 선하게 생겼는데 조국은 보면볼수록 욕심드럽게 많고 뻔뻔하게 생겼네,0,1,1,97.15,-1,1
33,"광주는 전라도 특별시랑께요~글고, 워낙 삶은소대가리를 좋아하는 양아치가 많아 꼭 있으야 된당께요~",0,2,1,97.1,-2,2
860,조국 아니면 못한다던 개혁이 이런 날탱이식이었나 이런건 조국 아니더라도 누구나 가능 하다,1,0,1,97.1,1,1
403,부산도 특수부 있어야지!!!!,0,0,1,97.06,0,0
95,걱정하지마라 정권바뀌면 다시 부활된다 문빠들 적폐정산하고 전부 숙청시키자,7,2,1,96.95,5,9
378,"조국고향이 부산? 전라도 빨이 사회주의자 부산출신없다, 문재인 부산? 그는 고향이 북조선이다",1,0,1,96.81,1,1
929,국가는 타임머신 개발하라..!!!난 2016년 탄핵이전으로 돌아가길 원한다,13,4,1,96.62,9,17
324,도둑범죄자가  검찰개혁  이는 오히려 잠정적  특수 범죄자들에겐 좋은소식  부산.경남.울산지역이 대구지역보다 크고 굵직한 특수한 사건이 많다.  이상해요,1,0,1,96.55,1,1
351,별게 다 트집이네~ 다 없애야하는데 3개 살려준 것도 감지덕지해야지!!,1,3,1,96.5,-2,4
420,긴말 필요없다  공수처 사법개혁법안 1년 넘개 뭉개고 방해하는 정치인들 이번 돌아오는 선거에서 반드시 정리해고 시켜야한다,1,0,1,96.5,1,1
165,이런기사 제목을 보면 정말 신문 언론이란 것들은 필요가 없는것같다,2,0,1,96.37,2,2
861,가장  부패한자가  반부패수사부를 만든다???개나 소도 웃을 한편의 코메디ㅣ네  충분한 여론수렴도  없이  그리고 법조계원로등   사회 각계각층의  의견  취합도 없이   발등에 떨어진 불처럼그리도 서두르나   아마  조국패밀리  수사가막바지에  다다른 모양이지  그리고 또 폐북에내가  검찰개혁을  완성  시켰노라고   ×랄 떨겠지,1,0,1,96.33,1,1
228,"부산 항구를 통해서, 대북 지원과 간첩들의 통로를 배려해주는 종북 정권이기 때문이 아닐까요??? 항상 북한 김정은 수령의 입장에서 사안을 해석해보면 정답이 즉시 보이는 더붉은당ㅋㅋ 너무 단순 무식한 좌익 정권이다.",4,0,1,96.21,4,4
631,"보기싫은 얼굴..문재인,조국,총리,민주당....단군 이후..최고의 위선자 적폐...",1,0,1,96.12,1,1
744,조국을  응원합니다,1,6,1,96.11,-5,7
831,ㅋㅋㅋ 속보인다 문죄앙 좃국아! 탄핵당할 준비들이나 해라!,2,1,1,96.06,1,3
297,진짜 언론이 댕댕이가 다됐네 .. 진짜 나라 망조다,1,0,1,96.03,1,1
540,정적들 팰 땐 열심히 써대다가 지들한테 칼 들이미니 바로 없앰ㅋㅋ,1,0,1,95.94,1,1
44,부산에  드루킹  소굴  몸통있으니  특검  못하게  하려고  수작부린거  같다,14,0,1,95.89,14,14
750,국민의 명령이다. 범죄자 조국 그 아가리 닫으라,3,0,1,95.82,3,3
792,"막무가네식 조국위한,조국에의한,조국의 검찰장악",0,0,1,95.7,0,0
373,"시작이반이다. 주디로하는 인간들아, 니들이 해봐라. 조국장관님이 아니라면 누구도 못할일이다.",0,2,1,95.36,-2,2
242,범죄자가  법을 논하니  삶은 소대가리가 웃을지경이다!  머리속은 빨갛고  얼굴은 철면피고 뒤꽁무니는 구리고!,4,0,1,95.33,4,4
332,태극기 들고 시위하는것도 이제 못할수도있다. 국가의 주인이 국민이 아닌 저들것이 될 수도있단말이다. 지금 하는짓으로 봐선 충분히 그럴꺼 같다는 생각이 든다.내년 총선 정신바싹차리고 해야한다. 정말 심각할정도다.,4,0,1,95.25,4,4
920,"또 급한척  졸속처리냐... 법조계의 논의는 필요없고? 이게  소통이 잘되는 정부라고 생각하나? 모든게 조국구하기로 밖에 안보인다.. 국민은 불결한 ""개혁"" 거부한다",4,0,1,95.24,4,4
187,대구에 살긴 하지만 유착비리 엄청나다.. 겁나 썩음,1,0,1,95.24,1,1
510,느그 석열이가 그렇게 하쟤 토요일 서초역에서 보자 춘장아,1,1,1,95.14,0,2
30,개혁이 아니고 임기후 자신들 안위를위한거였구만~~ 국가보안법 여론조작 등 지은죄가 많아서 살아남기위해 국민들을 이용했네~!!,12,1,1,95.0,11,13
367,검찰개혁 잘하고 있다. 어차피 해야 할 일 손에 피뭏은 조국이 최적임자다.,0,2,1,94.88,-2,2
404,조국이 조국하는구나,0,0,1,94.86,0,0
757,부산시장 지켜야 지가 사니까,4,0,1,94.71,4,4
314,장관님 힘내세요 고맙습니다,1,4,1,94.62,-3,5
335,10수가 한다는거 수용이란다 문맹들아 ㅎ,0,0,1,94.45,0,0
252,나랏일이 장냔이냐부산은 특수부가 꼭 필요하다,4,0,1,94.43,4,4
768,웃기는 세상이되는구나  훗날 후회할거다,1,0,1,94.02,1,1
304,"조국 장관의 당당한 모습이 믿음이 가네,",2,10,1,93.95,-8,12
383,왜 조국이 개혁하냐? 구속이 답이다,0,0,1,93.79,0,0
411,기레기 제목봐라.. 대검에서 영남지역은 대구로 정했다며..,0,0,1,93.53,0,0
364,좋아요! 힘드시겟지만 잘해주시길 바랍니다,0,3,1,93.53,-3,3
942,이놈의정권 망조가 들엇다낙화산인사발령 최고라더니 부패비리정권!!!,4,0,1,93.07,4,4
907,부산은 정권을 잡았으니 이제 대구를 잡겠다는 것으로 생각되네요,0,0,1,92.91,0,0
625,지역감정의 끝판왕 역시 현정권실세1위답네,1,0,1,92.55,1,1
910,법조계 반발 좋아하시네 국민이 원한다 ㅅㄲ들아,1,5,1,92.4,-4,6
396,부산이 제 2도시 아녀? 부산 사람들 가만히 있나요?,0,0,1,92.3,0,0
1,중앙일보 기자님들은 좋겠다.받아쓰기 잘 해서,1,1,1,92.28,0,2
612,"검찰개혁, 조국수호!!언론개혁!!공수처설치!!!",1,11,1,92.14,-10,12
419,부산 놈들이 짜고 치는 고스톱이라더니 사실이네............!!!,1,0,1,92.1,1,1
866,"특수부,반부폐수사부등 조국의 말장난입니다. 형사부만으로도 충분합니다. 수사권조정을 전제로검찰의 정치적중립,예산독립,인사독립이 진정한 개혁입니다.",2,0,1,91.93,2,2
500,어떻게 저새끼는 저렇게 해쳐먹고도 반부패같은 소리를 아가리로 내뱉는지 아가리 찢어서 검사해보고싶네,2,0,1,91.93,2,2
204,"인천 부산은 남겨야 하는거 아니냐 우리나라 2,3대 도시고 조폭, 외국인 낀 강력 조직범죄도 많은데 왜 빠졌냐",6,0,1,91.64,6,6
722,조국은 사퇴하고 수사 받으라,0,0,1,91.58,0,0
31,"너무너무너무 속보인다..느그를위한게 검찰개혁이었나..국민은 특수부 조사받을일도없다. 정치인, 재벌등등 가진자들만 해당될 특수부 없애려고 그난리를 떨며 조국을 법무부장관시키려고 한거였냐?? 결국 자기들이 혜택보려고 개혁같지도않은 개혁하자고 한거였네...",11,2,1,91.09,9,13
