,index,comments,like,dislike,predict,percent,truelike,wholelike
29,29,어휴 들어가 봤더니 가관...잘자요 굿모닝 굿애프터눈 실시간으로 셀카 올리고 앉았음. 자기딴에는 나는 악플에 신경 안쓴다 난 쿨해 이러면서 또 쿨한척 막 올렸나본데 오히려 더 구질구질해보여 하루종일 집에 앉아서 부스스한거 세팅했다 화장했다 하면서 집에서만 옷갈아입고 셀카찍지말고 좀 나가서 사람좀 만나세요 개 산책도 좀 오래 시켜주고. 똥오줌 치워주고 집에서만 우쭈쭈 예뻐해준다고 개고양이가 행복하지도 않고. 쟤들도 좀 바깥공기 쐬주고 뛰어놀게좀 해야 스트레스도 풀리고 친구도 사귀지 맨날 누더기같은 옷만 입혀서 같이 집안에 가둬놓네 참,23,1,0,0.0,22,24
30,30,예전 안재현 잘못인줄 알때는 구혜선 sns 기사화되면 좋다고 신나게 안재현 까더니만 구혜선이 노답이었던거 드러나니깐 이젠 기자한테 왜 sns를 기사화하냐고 난리네ㅋㅋㅋㅋ위선자들 ㅋㅋㅋㅋ,22,0,0,0.01,22,22
31,31,안재현 힘내세요!! 이제 당신도 행복하시길!,25,4,1,96.49,21,29
32,32,감정기복심한 사람옆에 있어보면 그게 얼마나 주위사람 피말리는 건지 알게 됨.,23,2,0,0.49,21,25
33,33,좀 이상해보임,25,5,0,3.83,20,30
34,34,이러다 안재현이 여배우랑 대본리딩 기념샷 찍은거보고 또 난리친다에 한표~!,22,2,0,13.18,20,24
35,35,올해의 교훈 중 하나 구혜선 같은 여자 만나면 고생한다?!,22,5,0,43.53,17,27
36,36,신정환은 대국민 거짓말하고 매장당했는데 구혜선은 한번뿐만이 아니라 지금까지 끊임없이 거짓말 지어내고 오연서한테 피해줬는데도 응원하는사람들이 있네,19,3,0,23.29,16,22
37,37,"결혼으로 안재현이 이미지세탁하고 덕 많이 봤다는 사람많지만 오히려 반대라고 생각함 구혜선 결혼전엔 허언증,하는건 많은데 뭐하나 제대로 하는거 없는 애 정신병 이랬는데 결혼하고 나서 자기 않좋은 이미지 싹가림 거기에 안재현이 신서유기 나와서 구님구님 이렇게 하면서 사랑받고 사랑스러운 여성의 이미지를 심어주기도 했음 누가 이득을 본거냐고 그럼 지는 가만히있으면서 안좋은건 싹 가리고 지좋은건 다 챙겼는데",17,1,0,28.53,16,18
38,38,않그래도 연기력때문에 잘써주는데도없는데 이번일로인해 더 않써줄듯...돈이있어야 예술활동도하지...돈이없으면 감독도못하고...적당히했어야지.. 완전 미저리를 떠나서 싸패야 이건... 너의 그행동들때문에 너네부모님이 더 힘드실듯싶다. 이게 무슨 불효행동이냐,17,2,0,0.01,15,19
39,39,어떻게 저렇게 무수한 글을 지껄이면서도 사과의 의미를 담는 글귀가 하나도 없지?,15,1,1,71.7,14,16
40,40,뭐 폭로하고 비난 폭주 빡돌면 할 수 있는데 ㅋㅋ샤워가운 사진을 재킷사진으로 쓴다는 시점부터는 선을 넘었다고 봄 ㅋㅋ하루에 무섭게 똑같은 셀카 올리는 것도...ㅋㅋ보통은 상처받음 미쳤다가 이성을 찾는 데 그냥 넘어서 수습불가상태! 함소원한테 상담받은 센터 번호 좀 물어바바 진짜 위험 수준이다,15,1,0,0.0,14,16
41,41,서로의 생각이 틀려서 그런일을 겪은거겟죠...구혜선씨도 건강하게 잘 지내시길 바래요.또 다른 행복은 멀리 있지 않은듯...본인이 찾아 행복을 누르시길 기원해요,22,9,1,99.99,13,31
42,42,cjst 반복적으로 송혜교 언급하는거 보니 이전에 타여배우 기사마다 한달 넘게  어그로하던 아디가 생각나네 계속 바꾸면서 반복적인 행태 남자배우들 이혼은 물론 50 넘어도 좋다할 줌마겠지,15,2,1,85.55,13,17
43,43,나도 그맘 알지 외롭고 힘들고 sns에라도 잘사는척 하면서 얘가 보겠지? 나는 걔가 뭐하는지 너무 궁금하고 미치겠는데 뭐 그런맘이랄까. 그런데 정도가 너무 심해요.. 그만해요 남는거 없어.. 진짜로 정신과 진료 꼭 받아보셔야 할듯 위험해보임 다만 자기애는 있어서 극단적인 선택을 하실거 같진 않아보임,14,1,0,14.44,13,15
44,44,좀씻어 안재현집에서 뭐해? 안재현이 집준다는것도 니가 머물던 데서 살 마음이없어서 준단 거 같은데 연예인이 이렇게 드럽기도 드물다 ㅋ ㅋ ㅋ ㅋ ㅋ 진짜 살찐니가좋다고 합리화좀하지마,13,0,0,0.08,13,13
45,45,이렇게 보면 송혜교가 얼마나 쿨한거였나 송중기 이혼소송 혼자 내고 이미지 타격 다 받았는데 쿨하게 이혼,34,22,0,8.01,12,56
46,46,못생겼어,14,2,0,12.85,12,16
47,47,악플은 그만 솔직히 설리보다 더 심각해보이는게 구혜선씨예요. 구혜선씨 주변분들은 부디 병원에 데려다주셨으면 좋겠습니다,13,1,0,41.26,12,14
48,48,구혜선도구혜선이지만 기자님들도 은근 구혜선까는데 맛들린듯,13,1,0,44.21,12,14
49,49,아직도 구혜선 믿느니 화이팅이라니 이런 소리 하는 사람은 어그로 끌고 싶거나 재정신이 아니라서 그런거 맞지???,16,5,0,43.78,11,21
50,50,언제나 시끄러운 쪽이 구린 쪽이였다.,14,3,0,3.36,11,17
51,51,아무리 보기 싫어도 그렇게 악플 달지 맙시다 이번 설리기사보고 댓글 안쓰다가 댓글씁니다. 구혜선씨도 그러다가 이런 소식들리면 어쩔려고 그래요 다들 정신차리고 제발 아무리 자유가 있다고해도 이혼당한 시국에 사람이 정상적이게 버티기가 얼마나 힘들겠습니까 남자인 입장으로 남자는 그런거에 쉽게 극복하고 게임이나 다른 거에 더 집중이 가능합니다 하지만 여자 입장으로는 얼마나 부끄럽고 힘들겠습니까 제발 악플 달지말고 그저 품어주기도 해봅시다.,13,2,0,0.0,11,15
52,52,굿모닝.낫모닝.남의  집에서 비번  바꾸고  쳐나가지도 않고 하루종일 sns 이지랄.자유라더니 사랑안한다더니 남의 집 머물면서 모하는건지.진심.환자다.,13,2,0,1.08,11,15
53,53,자기애로 위장한 열등감 애정결핍이라 한순간 잘못 생각하면 극단으로 갈 수 있다? 부모라도 좀 챙겨라,12,1,0,25.32,11,13
54,54,구혜선에게 허세니 뭐니 해서 그냥 까려고 만든말인줄 알았는데 이번 이혼관련해서 올라오는 기사들과 사진을 보며 납득이 되버렸다. 제3자가 봐도 이해가 안가는데 가까운 사람들도 뒤에서 얼마나 욕들을 할까?  연예인이라도 조용히 지 할일만 하고 살아도 이정도로 비판받진 않았을텐데 그리고상황을 좀 구분해서 행동할줄 알아야 하는 나이일텐데 동안이라고 하는짓도 어린티를 내고 있으니. 비호감 캐릭터임은 본인의 귀책사유임이 명백하다.,11,1,0,0.0,10,12
55,55,"안재현씨가 오랫동안 소속사와 이혼준비를 해왔단걸 알게되어 배신감을 느꼈단 것도,, SNS에서 말했던 대표와의 뒷담화의 연장선에서 크게 벗어나지 않는다고 생각해요. 구혜선씨가 이혼할 맘은 없지만 변호사를 선임하여 이혼준비를 시작하였고 그걸 상대방에게 밝힌 순간 혹은 SNS에 폭로를 시작한 순간 이미 두분 사이는 끝난겁니다.서로가 서로에게 어떤 잘못을 했는지 혹은 어떤 상처를 줬는지 대중에게 아무리 말해봐야 대중은 가십거리로 여길 뿐 절대로 소통이란게 되진 않아요. 스스로를 소중히 여기는 법에 대해 생각해보세요..",11,1,1,98.48,10,12
56,56,얘도 ㄸㄹㅇ 인증!,11,1,0,17.22,10,12
57,57,머리 안감는거 보니까 정신적으로 문제가 심각해보임 우울증 심한거 같은데 진짜 비꼬는거 아니고 정신과 꼭 가서 상담 받으셨으면 함...,10,0,0,0.31,10,10
58,58,중이병도 아니고 대체 누가 저 나이에 셀카를 저렇게 찍어대고 심지어 무한 업데이트 하지?,10,0,0,6.55,10,10
59,59,얼굴이 심보를 쪼까이 써서 그런지 쪼까이 생깄닺,14,5,0,5.22,9,19
60,60,이제 그만 구혜선 안나왔으면 좋겠다도대체 왜이러는지~ㅠㅠ이제는 안재현이 얼마나 답답했으면  이혼을 하려 하는건지 알것같다~구혜선은 착한이미지뒤에 악령이 있는듯하다,10,1,0,0.42,9,11
61,61,"이게 더 또라이같다, 지금까지 해온 행동들이 일반적인 사람이 이혼후에 할 행동들이엇나? 그러고 나서 지금 태세전환한거봐라",9,0,0,17.66,9,9
62,62,.가정지키겠다고. 그렇게.   노래부르더니.   지랄발광하네.   제발 글좀.   올리지. 마세요.  조용히.    안재현처럼.    묵묵히.     이혼이. 무슨. 자랑이라고.     ~~~~~,9,0,0,13.5,9,9
63,63,난 처음부터 얘 이상한거 같다고 했는데 그때 사람들이 바람남 편든다고 뭐라하기만 했었는데,9,0,0,9.57,9,9
64,64,설리 자살했단다 니들도 여기다 악플 작작좀 쳐달아라 구혜선 지금 멘탈 제정신으로 보이냐,10,2,0,8.29,8,12
65,65,구혜선은 친구도 없나보다,10,2,0,7.81,8,12
66,66,"누가 이런 병자랑 24시간 이라도 살수있을까,,,3년이라했나,,,안씨의 고통은,,,ㅠ",10,2,1,89.8,8,12
67,67,설리랑 비슷한 심리 상태 보입니다. 주변 사람들이 잘 챙겨주세요~,9,1,1,96.91,8,10
68,68,상간녀취급받은 여배우들은 인스타폐쇄했는데 사과 안하냐?,9,1,0,5.44,8,10
69,69,구혜선씨 정신과치료가 시급합니다.,8,0,0,22.87,8,8
70,70,"기자가 안 끌고오면 그냥 개인사인거슬 굳이 가지고 오고, 그걸 이렇다저렇다 평가하고. 암튼 피곤한 일이다",8,0,0,28.03,8,8
71,71,기자님 안궁금해요,8,0,1,60.83,8,8
72,72,"개인사를 떠나 못난 얼굴은 아니었는데, 단순히 살이쪄서 선풍기아줌마 같은 느낌이 된건가..",12,5,1,73.43,7,17
73,73,구혜선씨 지인분들 잘챙겨주세요 그리거 구혜선씨는 당분간 인터넷하지마세요 제가 다 걱정돼요 ㅠㅠ,9,2,1,93.99,7,11
74,74,안재현이랑 구혜선 드라마 주연으로 처음 만났어 근데 뭘 구혜선 덕을 봤다는거야ㅋㅋ 별에서온그대에서 떴고 그래서 남주까지 했고 그 후에 만났어ㅋㅋ,8,1,1,65.91,7,9
75,75,안재현 응원한다 그동안 고생많았겠다,8,1,1,99.61,7,9
76,76,구혜선씨 적당히 하세요할일 없어서 남편 욕하나요안재현씨 폭로 보다 본인 앞으로 연기자 생활 안해요송혜교 언니보다 못하시네요,8,1,0,1.45,7,9
77,77,고소 들어가고 이혼소송 들어가니깐 불풀이 끝난거임?일을 이렇게 벌렸으면 책임도 져야지..분탕질 실컷 해 놓고는 혼자 쿨한척 그러고 있냐?이왕 쿨하게 굴꺼면 진작 하지..그나마도 있던 팬들까지 정떨졌다...,7,0,0,26.83,7,7
78,78,빠르게 해결나서 안재현 다시 웃길..,7,0,1,87.04,7,7
79,79,같은 여자지만 구혜선 많이 무섭다,7,0,0,41.04,7,7
80,80,내가 다 이혼 시켜주고싶다마 속터져라!!!!,7,0,0,6.98,7,7
81,81,나는 이사람이 너무무섭다,7,0,1,60.82,7,7
82,82,이 여자가 점점 싫어지는 이유는 두 사람 사이에 해결해야 할 이별의 문제를 자꾸만 대중들에게 어필한다는 거다.처음엔 이혼이 두 사람마다 각각의 문제가 있어 헤어졌을 거라 생각했지만 이젠 그냥 이런 여자랑 사느라 안재현 마음 고생이 많았을 거 같다는 생각이 든다.질척거림의 끝을 보여주는 여자.,10,4,0,0.1,6,14
83,83,"죄송한데, 악플이 아니고 구혜선은 안재현과 지인 및 소속사 상대로 허위 사실 유포 및 명예훼손, 사진 유포로 범죄 처벌 대상인 부분이며, 스스로 모든 것을 자초했기에 비난이 올라올 수는 있는 거예요.",8,2,1,79.87,6,10
84,84,개싸이코....무서워,8,2,0,8.91,6,10
85,85,당대 최고 여배우 심은하도 자신 굽히고 내조 잘하고 사는데~ 지가 뭐라고 억울하대,8,2,1,99.55,6,10
86,86,악플..나쁘죠 절대해서는.안될짓..입니다. 근대 구혜선씨도 그만했으면 좋겠습니다..시작은 구혜선씨가 했으니..대중들을 자기편으로 만들려고..이런저런 글 적어놓고 거짓이면 지우고 ..편들던 사람들도 정떨어지게 만들고... 이제 그만 조용히 문제해결하시고  조용해지면 또 글올리고.그런거 안했으면 합니다.,7,1,0,0.09,6,8
87,87,진짜 저 허언증쩌는여자랑 참고 살던 안재현이 불쌍하다 진짜 제대로 똥밟았네 ㅉㅉ,7,1,0,0.07,6,8
88,88,베플이 다 악플이네.; 악플좀 그만요. 그러거나 말거나 냅둬요. 좀~ 오지랖도 넓네 다들. 싫으면 관련기사 안보면 되는건데 왜 굳이 기사 눌러 들어와서는 상처받을 댓글을 다는지. 심보들이 전부다 고약해,7,1,0,18.43,6,8
89,89,허위사실 유포해서 애먼 사람들 상간남녀만들어 전국적으로 이미지추락시킨거 몰라서 묻나? 실례로 반려동물 똥오줌 한번 치워준적없다고 욕해달라 폭로하더니 안측 해명으로 밝혀진 문자내용엔 똥치웠다밥줬다 죄다 밝혀져있던데? 제출했다는 호텔가운사진도 홍보용자켓에 쓴 것도 비정상적인데 그 마저도 결혼하기 2년전이라며 진실이라도 남의 사생활공개폭로부터 이미 불법인데 허위사실이잖아? 확증없이 물증만으로 네티즌 농락하며 상대방 공개저격하는게 정상으로 보이면 어쩔수없지 그렇게 사셔평생,6,0,0,0.0,6,6
90,90,기자도 제발 그만..,6,0,0,2.77,6,6
91,91,구혜선 눈 생긴게 정말 별로임,6,0,0,0.52,6,6
92,92,남자 아파트에 아직도 사는거보니 미련이 남았나보네?  나같으면 더럽고 치사해서라도 얼렁 나오겠다~얼굴에 철판을 깔았나? 너무 뻔뻔하다~이런애들은 좋은말로 하면 말귀 못알아들어요~형사고소 하세요~,6,0,1,68.87,6,6
93,93,저 사진은 진짜 정황상 안재현한테 명예훼손으로 고발당할 수준 아닌가요? 자기 세상에만 갇혀서 여러사람 한테 고통주네. 가족은 뭐 이해하고 위로해준다지만 저런거 말려주는 친구가 없나?,6,0,0,1.45,6,6
94,94,ㅎㅎㅎ 네가 맞고 가만있을 사람이냐?,6,0,0,9.18,6,6
95,95,"미대생인데 기분 참 묘해요.. 이분이나 하연수씨나 다른 연옌분들 유명세로 미술로 잘 되는 분들,,, 나도 결국엔 유명해져야만 잘될까싶고 그냥 실력을 오지게 키워야겠네.. 아직 대학생이지만 생각이 많아지는,,,",6,0,1,99.99,6,6
96,96,눈빛이 하나같이.....,6,0,0,45.02,6,6
97,97,눈빛이 이상해....,6,0,1,92.06,6,6
98,98,살아보니 만나는것보다 잘 헤어지는게 더 중요하더라.끝이 좋아야 다 좋다..,6,0,1,50.25,6,6
99,99,"지금까지는 예고편, 안재현 드라마가 성공했을경우, 비난폭주예정.  인기없을 경우, 비웃을예정임.",6,0,0,1.78,6,6
100,100,쟤는 표정이 한결같애 웃는걸 찍은적이없는듯.저게 이쁜줄아는건가 항상 미저리같은 표정.,7,2,0,9.2,5,9
101,101,"분풀이라니...가정폭력을 당한것도 아니고,증거있는 외도정황도 없는데한때 사랑해서 결혼한 사람을그렇게까지 했어야하는지..기사에서든, 어디에서든 그만 보고 싶네요",6,1,0,4.54,5,7
102,102,이젠 사진만 봐도 이상한 사람 같이 보여 ㄷㄷ,6,1,0,3.26,5,7
103,103,아줌마 이제 본인의 인생이나 열심히 사세요ㅋㅋㅋ,6,1,0,26.19,5,7
104,104,사진들 이쁘게 나온거라 생각해서 저마이  올린걸까..?햐..미치겟다 증말.,6,1,0,24.01,5,7
105,105,사진 하나 잘못 올렸다가 사람들 다 뒤도니 바로 이제는 정 떨어져서 안 하겠다? 속보여요 진짜로.....처음에는 저도 구혜선씨 편이였어요. 바로바로 해명하고 글 올리고 하는게 아 진짜 당당하니 그런가보다 했으니까요. 근데 W호텔 사진 이후 신뢰도도 뚝 떨어졌고 이젠 마지막 발악처럼 느껴지기 시작해요.,5,0,0,0.01,5,5
106,106,안재현만 불쌍해,5,0,0,13.52,5,5
107,107,거지 같은 상황에 셀카찍고 게시물 올릴정도면 정상적이진 않지. 너무 힘들면 sns 할 여유조차 없는게 일반적이니까. 이젠 언론에 노출 되는 자신을 셀럽이라 생각하고 즐기고 있는중인듯~  내 주변인물이였으면 소름끼쳤을듯...,5,0,1,83.97,5,5
108,108,자기 얼굴에 빠져사는듯!  배경도 없이 만날 증명사진~~ㅠ,5,0,1,99.56,5,5
109,109,내가 겪은감정이랑비슷함소실적나도 이별할때 집착 원망그리고 나중에는 괜찮은척 이게 계속반복되더라내가보니깐 구혜선도 감정기복엄청심하다이런사람누굴만나기힘들다 그냥혼자사는게좋음,5,0,1,51.11,5,5
110,110,처음엔 구혜선이 안쓰럽고 불쌍했는데.. 볼수록 점점..징그럽고 뭔가 관종같고.. 믿음도안가고..ㅜ,5,0,0,1.4,5,5
111,111,오늘아침 연예뉴스에 구헤선 인스타 활동에 대해서 나오드라  일반인이 아닌 공인이기에  특히 지금상황에서 sns를 열심히       .하는게 대중들 정서에 안맞고 안좋게 보일수 밖에 없는데 이해할수가 없다고 ㅉ ㅉ 연예인  동료들이 더 이해안된다더라,5,0,0,0.23,5,5
112,112,확실해 또라이.,5,0,1,84.7,5,5
113,113,구혜선 정신병자같아,5,0,0,5.05,5,5
114,114,멀쩡한 정신만 있으면 어디든 갈수있어... 시켜줘 금잔디  명예 정신과의사,5,0,0,2.86,5,5
115,115,애쓴다 애써  정작 상대방은 관심도없는데 혼자 북치고장구치고,5,0,0,0.06,5,5
116,116,분풀이?못된년,9,5,0,12.77,4,14
117,117,구혜선씨...마음 강하게 먹고 버티세요~ 지나가면 다시 좋은날 올꺼에요....우리가족은 모두 구혜선씨 응원합니다,9,5,1,99.95,4,14
118,118,조용히 좀 살면 조금이라도 동정이 갈텐데 이뿌지도 안은 얼굴 뭣하러 자꾸 찍어서 올리는지 누가 보고싶고 궁굼하다고...하루라도 빨리 정신 차리세요,8,4,0,0.08,4,12
119,119,설리가 구혜선처럼 할말다하고 언플에 능했으면 ㅈㅅ안했겠지. 구씨 걱정하는건 진짜 괜한 걱정이다.,6,2,1,89.48,4,8
120,120,안재현이 역으로 명예훼손 걸어서 진짜 영혼까지 탈탈 털어먹었으면 좋겠다... 선례를 남겨선 안됌..,6,2,1,68.92,4,8
121,121,으아. 미저리다.,6,2,1,66.32,4,8
122,122,살이나 좀 빼라 얼굴에 심술보가 가득가득해선 날씬하고 잘나가는 오연서한테 열폭이나 하고 ㅉㅉ,6,2,0,1.17,4,8
123,123,사람이 나이를 먹으면 얼굴에 살아온 인생이 드러난다더만 어째..,6,2,1,96.39,4,8
124,124,나같은 사과하겠다. 안재현한테도 오연서 한테도.... 안재현 인스타 보니 약도 많이 먹는거 같던데... 에효 설리의 안타까운 선택으로 더 많이 슬퍼하던데.. 이제그만 용서를 빌어라,5,1,1,97.09,4,6
125,125,보통 연예인들 이혼기사도그렇고 하물며 친구들도 싸우면 여자는여자편 남자는남자편 갈리는데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ난 여잔데 남자입장 이해가긴 드문케이슨데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이러니 친구가없지,5,1,0,5.59,4,6
126,126,얘 기사가 왜 상위권이야 ㅋㅋㅋㅋㅋㅋ진짜 내가 구혜선고소하고싶다 sns못하게 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ짜증나진짜,5,1,0,13.81,4,6
127,127,뭐 이런 여자가 다있는지..심하다!!,5,1,1,61.26,4,6
128,128,안재현 드라마 시작하면 다시 분풀이 재개할듯... 형사고소가 답,5,1,1,82.0,4,6
129,129,불쌍하다 저 이쁜얼굴에 안타까비,5,1,0,46.73,4,6
130,130,열심히 좀 살아라 또래들은 직장에서 땀흘리며 에너지 소비하는데  구씨는 집에서 쌜카질이네? 쉽게돈벌더니 사람들이 우습게 보이지? ,5,1,1,96.22,4,6
131,131,여론 선동짓 그만하고 둘이서 해결보고 이혼잘했으면 .. 안재현불쌍하던데 구혜선도 그만 했음 좋겠다. sns로 여론몬것 첨부터 구혜선이고 문자보면 진짜 가관이던데 그만 괴롭히고 걍 이혼잘해라.,4,0,0,0.0,4,4
132,132,구혜선씨  이제 전남편에대한모든걸  좀내려놓고  자신을 좀돌보고  추스리세요   안씨를 무너지게해서 결코당신에게도 좋을일이없을테니,4,0,1,99.7,4,4
133,133,연예기자들은 좋겠다. 구혜선이 있어서 ㅋ,4,0,1,63.89,4,4
134,134,안재현배신햇다생각했고 망칠려고작정햇엇고 안재현을소유하고싶은데 맘떠나가질수없으니 여자를주의에접근못하게 폭로하고 댓글중에 아직도안재현집에산다고  존심이바닥을치네 당장보따리챙겨 나와야할듯,4,0,0,3.3,4,4
135,135,기자님들 sns 끊으세요.,4,0,1,74.65,4,4
136,136,분풀이를 온 국민상대로 하는건 좀...너무했다...진짜...결국은 자기한테 마이너스,4,0,0,0.58,4,4
137,137,인간이길 포기하신듯,4,0,0,12.49,4,4
138,138,심리적으로 불안한 사람들이 sns같은거 통해서 자기심리 드러낸다는데 특히 자주 올리거나 프사를 자주 바꾸는등의 행위.. 딱 맞는듯...,4,0,1,99.98,4,4
139,139,이런거 중계하는 기자도 문제,4,0,1,63.38,4,4
140,140,그냥 관심종자,4,0,0,5.34,4,4
141,141,기자여 일 좀 해라. 니 할 일. 연예인이 구혜선 안재현 둘 뿐이냐 ㅋㅋㅋㅋ 이럴 시간 있으면 신인들이나 열심히 하는 연예인들 홍보나 해줘. 점심은 먹으러 가냐 매번 일 이렇게 하고 ㅋㅋ,4,0,0,0.77,4,4
142,142,구혀선은 증거사진 조작해서 사람들을 속일 수 있다고 생각했음 교활하게. 그렇게 속여서 안재현 억울하게 파멸시킬려고 난 점점 구혜선이 ㄸㄹㅇ라기 보다는 정말 교활하고 악하다고 여겨짐 형사고소만이 구혜선을 멈추게 할 수 있음,7,4,0,2.35,3,11
143,143,이 기사 내려라기자야 악플로 설리가 죽었다구혜선이도 죽이고 싶냐아래 악플러들 장난 아니네 제발 연예인들 냅둬라,5,2,0,8.3,3,7
144,144,구혜선 한테는 악플 자제 합시다 설리처럼 될까 걱정이네요,5,2,1,95.48,3,7
